m.a.	sítil dømis
matur	Samheiti:aftansmatur,afturíkast,argjamáltíð,argjamunnur,avlopsbiti,ábit,ársføði,árskjøt,árskorn,áta,átumatur,bestibiti,biti,bítur,bleytmeti,blikkamatur,blikkmatur,blóðkostur,blóðmatur,bóndamatur,breyðmatur,brigdarmatur,brúdleypsmatur,búkfylla,búrbiti,búrmáltíð,dósamatur,dygdarmatur,dyllubiti,døgurðabiti,døgurðamatur,døgurði,eftirbiti,eftirrættur,eggjamatur,eplamatur,fagnarbiti,fagnarmáltíð,feitimeti,ferðamatur,ferðavistir,feskmatur,fiskamatur,fiskmeti,fitibiti,fjallmatur,fjørumatur,fólkaføði,fólkamatur,fyrstadrekka,føði,føðievni,føðsla,føðsluevni,gestamatur,gildismatur,gloypibiti,gloypubiti,gloypur,gongubiti,góðgæti,góði,grillmatur,grindamatur,grindaverður,grón,grýlubiti,grýturættur,grønmeti,grønska,gudsgáva,gudslán,handilsføði,handilsmatur,heilsukostur,hundskubiti,hungursføði,hungurskostur,innløgumatur,íkast,jólagóði,jólamatur,jólaverður,kjøtbiti,kjøtmatur,kjøtmáltíð,kostur,kókingarmatur,krás,kuldamatur,lesk,leskur,líkindabiti,lógvamatur,lystimeti,mannaføði,mansmetta,mansverður,marglæti,matarbiti,matargrein,matarmoli,matarnartl,matartugga,matarvøkstur,matbiti,matfeingi,matmoli,matnýti,matvøra,mál,málari,máltíð,metta,mikkjalsmessudilkur,millummálari,millummáli,mjólkarmatur,mjólkarúrdráttur,mjølmatur,molamatur,moli,morgunbiti,morgunbreyð,morgundrekka,morgunmatur,morgunmáli,munnbiti,munnsmakkur,nátturðabiti,nátturðamatur,nátturði,niðurundirkast,niðurundirskot,pannumatur,plantuføði,posamatur,proviantur,rámeti,rættur,saksingarmatur,saltmatur,seingjarmatur,skipsvistir,sjógæti,sjómatur,sjúkrakostur,sjúkramatur,skaðamatur,skeljamatur,skjáttubiti,slakningarkostur,slambur,slammiska,smakkur,snákubiti,sneisarmatur,snykmatur,songarmatur,spónamatur,spritubiti,stovuskuld,styrkibiti,støðubiti,støðugildi,sukurmatur,summarmatur,súpimatur,tilløga,tilløgumatur,torvmatur,trivningsbiti,trívibiti,trívingarbiti,tugga,tuggumatur,umloysur,undirkast,urtaføði,úrdráttur,útróðrarmatur,vaksingarbiti,vakstrarbiti,valamatur,vambarfylla,verdur,verður,vetrarføði,vetrarkostur,vetrarmatur,viðskeri,villmeti,vist,vistir,æti,øskukrásalt gott (at fáa);alt gott av, úr havinum, sjónum;e-t matarkent, matkynt;e-t niðurundir, niðuryvir, omaná;flótandi føði;heitur matur;(inn, upp) í munnin;kalt borð;líkinda biti;líkinda máltíð;ov mikið av øllum góðum;□hetta er ikki molamatur(mathald)borð,borðgangur,borðhald,borðlag,borðreiðing,borðreiðsla,bóndaborð,brúdleypsborð,døgurðaborð,kaffiborð,matarborð,matarhald,matborð,matlag,morgunmatarborð,nátturðaborðbúgvið borð;fyrsta borð, annað borð o.fl.(djóraføði)fóður,fóðurevni,fóðurrót,fóðurtari,grønfóður,handilsfóður,holdfóður,hundamatur,hundsbiti,innifóður,ífylla,ífyllufóður,ískoytisfóður,kettumatur,kópamatur,krabbaæti,kraftfóður,kúfóður,kúmatur,lesk,leskur,lívfóður,neytafóður,neytamatur,ravnamatur,rúgvufóður,stráfóður,súrløgufóður,svínsføði,turrfóður,várhálmur,vetrarfóður(fiskaføði)alifiskafóður,alifóður,fiskamatur,fóður,fóðurevni(fuglamatur)dunnumatur,fuglaæti,gásamatur,hønufóður,hønumatur,høsnafóður,høsnamatur↔át,átari,drekkivatn,eta,etandi,gnaga,herkja,kóka,mata,matfegin,matgera,matgerð,metta,mettur,óetandi,ókókaður,steikja,svangur,tysturAndheiti:óát
matvandin	síkræsin
matvatn	sívatn
matvánir	sílíkindi(r)
matvinur	síátari
matvirði	sídygd
matvísur	sístaðkendur
matvøra	símatur,vøra
matvørubúð	sísølubúð
matvøruhandil	sísølubúð
matær	síseyður
matætt	sívindur
máa	símegna,rudda,slíta upp
máaður	síslitin
máan	síslit
máast	símatast burtur
mágskapur	sískyldskapur
mágur	sískyldfólk
máhamur	sípinkulingur,rakdirðil
máhav	sípinkulingur,rakdirðil
mál	síendamál,kassi,mark,matur,málnýtsla,mátingarband,orðaskifti,rødd,sakarmál,skotskiva,strekki,tos,tungumál,ummæli,umrøðuevni
mála	síavmynda,lita,máta,nágreina,pensla,siga,skríggja
málaður	Samheiti:bikaður,bikbræddur,bræddur,handmálaður,lakkaður,smurdur,tjargaður,tjøraður,tjørubræddur,tjøruginginblá-, grøn-, gul-, hvít-, reyðmálaður o.fl.;nýbræddur, -lakkaður, -málaður o.fl.(bikutur)tjørugingin,tjørutursmurdur, útkleimdur í máling, tjøru o.fl.↔farging,lita,litaður,littóni,penslaAndheiti:litfarin
málagangur	sískríggj
málageip	sískríggj
málageipan	sískríggj
málamikil	símálmikil
málan	sískríggj
málaralist	sílist
málari	símatur
málaskjaldur	sítos
málbein	símunnur
málbering	símálnýtsla
málbinda	Samheiti:múlabinda,múlbinda,reingja,teppa,tippahava kjaft upp á skaft;klombra kjaftin, munnin á e-m;seta e-n á knappin, fastan, skák og mát;seta e-n til stikkuna;seta e-n út á sjógv;seta klombur á kjaftin, munnin á e-m;steðga gákinum á e-m;taka e-n í áløgum↔málbundin,nipin
málbland	sítungumál
málblendingur	sítungumál
málbroyting	síbroyting
málbrúk	símálnýtsla
málbundin	Samheiti:afturvendur,klumsin,málleysur,máltikin,múlabundin,múlbundin,teptursettur á knappin;settur fastur, skákmát, skák og mát;settur út á sjógv;tikin í áløgum(vera, verða málbundin)fáa holið fult;fáa sum vátan vøtt á kjaftin, frammaná;hava runnið seg í skorfesti;ikki fáa orðið fyri seg, upp;ikki fáa svarað;ikki tora at tala;ikki vita sær aftursvar;noyðast at tiga;sita, vera forsvølgdur;standa fastur;vera, verða rongdur, settur upp á pláss, teptur, tiptur,;vera, verða settur á knappin, settur út á sjógv;□hann er sum e-t múlabundið ross;hann hevur fingið múlaband;málið stakk aftur í hann (aftur);nú stendur í keksi↔málbinda,nipin,uppikastaður
málburður	símálnýtsla
málbúni	símálnýtsla
málbúning	síbati
máldámur	símálnýtsla
máldráttur	síillsinnisgleps
máldrúgvur	Samheiti:málgóður,skroyvin,stórsleingin,vavmikil○sum hilnast, roynist o. fl. væl;□hann er betri, drúgvari, størri, o.fl. enn ein væntaði, enn roknað varð við;hann er betri í royndum enn í sjóndum;hann er ikki so ræddur sum illa klæddur;hann stendur væl mát;hann tekur nógv upp á seg↔førligur,hovin,mikil,rúmligurAndheiti:slakur
málevni	síumrøðuevni
málfara	sísiga
málfimur	síorðkringur
málfiskur	sífiskur
málformur	símálnýtsla
málfrøðingur	sífróðarmaður
málføri	símálnýtsla
málførleiki	símálkynstur
málførsla	símálnýtsla
málførur	síorðkringur
málgagn	síboðberi
málgóður	símáldrúgvur
málgranskari	sífróðarmaður
málhugaður	símálkønur
málingararbeiði	sífarging
málingarhandil	sísølubúð
málingarluktur	síluktur
málingarterri	síterri
málingshýsa	sífiskur
málingur	sífiskur
máliska	símálnýtsla
málkast	síblaking,spæla bólt
málkostnaður	síútreiðsla
málkringur	símálkønur
málkunnleiki	símálkynstur
málkúgan	sítvingsil
málkynstur	Samheiti:frásagnarlist,frásøgukynstur,góðar talugávur,málførleiki,málkunnleiki,málkøni,málsnild,munnsnildir,orðfimi,orðsnildi,røðusnild,talugávur,tungulist,tungusnild(orðaleikur)orðleikur↔málkønur,málnýtsla,munnkátur,orð,orðkringur
málkøni	símálkynstur
málkønur	Samheiti:mállærdur,málhugaður,málkringur,tvímæltur↔málkynstur,málnýtsla,orðkringur
málleysur	símálbundinSamheiti:deyvdumbur,dumbur,dummur,ómælturdeyvur og dumbur;við ongum máli↔dulur,málloysi
mállinja	símark
málloysi	Samheiti:dumbleiki↔dulur,málleysur
málloysingur	síbarn
mállærdur	símálkønur
málmaður	sífróðarmaður,vernd
málmari	síhermaður
málmbland	síblandingur
málmeistari	sífróðarmaður
málmenning	síbati
málmerki	síeyðkenni
málmgrýti	sígrót
málmikil	Samheiti:fastmæltur,gorrutur,gorutur,harðmæltur,hámikil,hámæltur,hávamikil,klármæltur,kváður,málamikil,málreystur,málskur,mælskur,ramligur,reinmæltur,reystmæltur,snjallur,treystmælturfastur, ramligur á málinum;við fastari, harðari, reystari rødd;□hann er eingin kveiningur;hann er eitt hágegl, rópar hart;tað er eitt óstur hann hevur;tá var mál í manni↔ljóðmikil,mæltur,ófriðarligur,rødd,skríggj,skríggja,syngja
málmissur	síhæsi
málmur	sísinnalag
málmætur	síorðkringur
málnevnd	sívald
málningaframsýning	síframsýning
málningalist	sílist
málningur	símynd
málnýtsla	Samheiti:framburður,frásøguháttur,lestrarháttur,málbering,málbrúk,málburður,málføri,málførsla,orðafall,orðafar,orðalag,orðaljóð,orðbragd,orðføring,orðing,snúning,stavingarháttur,stavingarlag,tosingarlag,tosingarmáti,tónalag,útførsil,útførsla,úttala(málbúni)máldámur,málformur,málrómur,málsnið,máltóni(orðafelli)máliska,munntami,orðfelli,tiltak,tiltøka,orðatiltak,snúning(orðatak)munnmæli,orðtak(orðfeingi)mál,orðatilfar↔arbeiðslag,greiða frá,kvikmæltur,málkynstur,málkønur,munnkátur,orð,orðkringur,siga,tos,tosa óskilliga,tungumál,uppgjørdur
málnæmi	sínæmi
málpolitikkur	síendamál
málreinsing	sískiljing
málreystur	símálmikil
málrómur	símálnýtsla
málrøkt	sískiljing
máls	sítíðliga
málsevni	síumrøðuevni
málsfiskur	sífiskur
málskostnaður	síútreiðsla
málskot	sísparka
málskur	símálmikil,munnkátur,møsnutur
málsligur	síbyrjari,framsøgn
málslingur	síbyrjari
málsmaður	síoddamaður
málsnið	símálnýtsla
málsnild	símálkynstur
málspark	sísparka,spæla bólt
málstova	síhøli
málstrika	sístrika
málsøga	sífrásøgn
málsøki	síumrøðuevni
málsøkin	síraskur
máltikin	símálbundin
máltíð	símatur
máltonn	sítonn
máltóni	símálnýtsla
málveikur	sífámæltur,mæltur
málverji	sívernd
málvilla	sískeivleiki
málvinur	sífróðarmaður,kendur persónur,vinur
málvísindamaður	sífróðarmaður
mána	síelva,ganda,noyða
mánadagsgrátur	sígrátur
mánadúgva	sífuglur
mánaðarblað	sískriv
mánaðarbyrjan	síbyrjan
mánaðarfrí	sífrítíð
mánaðarkort	síváttan
mánaðarliga	síreglubundin
mánaðarligur	síreglubundin
mánaðarloyvi	sífrítíð
mánaðarløn	sígjald
mánaðarrit	sískriv
mánaðarskifti	síbroyting
mánaðaruppgerð	síavrokning
mánaferð	sítúrur
mánafiskur	sífiskur
mánahorn	sívinkul
mánaljósur	sískínandi
mánalýsa	síljósglæma
mánalýsi	síljósglæma
mánamyrking	síavmyrking,skuggi
mánansdúgva	sífuglur
mánansríð	síkavi
mánarás	síringrás
mánasjúka	Samheiti:gøtumenn,tíðir, tíðirnartað mánaðarliga(hava mánasjúku(na))flaggahava gøtumenn, síni ting, tað mánaðarliga, tíðirnar;vera í skifti;□tað er harður streymur
mánasjúkur	sísvakur
mánaskalli	síblettur,høvuðskál
mánaskin	síljósglæma
mápa	sísvika
mápari	sísvikari
másaligur	síúrklænur
másaskuri	sífuglur
másasligur	síúrklænur
mási	sífuglur
mát	símátingarband,strekki,ummæli
máta	Samheiti:favna,feta,fóta,mála,máttaka,spanna,stikkagera uppmáling(ar), uppmáting(ar);lodda, skamta, skanta, skatta dýpi;mála, máta út, upp;máta e-t til;máta í fetum t.e. handarbreiddum, handfangum;stikka út;taka mál, mát av e-m(røkka)hava, máta, standa, vera ávísa breidd, longd o.fl.;vera til hæddar, longdar o.fl.↔kanna,mátingarband,strekki,viga
mátaliga	sípassaliga
mátaligur	síhóskiligur
máti	síafturhald,arbeiðslag,vani
mátiband	símátingarband
máting	Samheiti:hallamáting,uppmáling,uppmáting(uppmerking)grindamerking
mátingarband	Samheiti:alintráður,alnamál,alnamát,alnartráður,grindamál,grindastokkur,linjál,mál,mát,mátiband,metramál,rennimát,rútamál,sentimeturmál,sentimeturmát,skøðastikka,stikka,strikmát,strikufjøl,strikumát,strikusneis,tummastokkur↔máta
mátingareind	síummæli
mátingartól	síamboð
máttaka	símáta
máttarlind	síorkukelda
máttarpeningur	síátak
máttarstøð	síorkukelda
máttleysur	síkraftleysur,útmøddur
máttlítil	síkraftleysur,útmøddur
máttloysi	Samheiti:armóð,avdeyðalag,avmæri,avtrivni,ekkamøði,ermøri,hjálparloysi,linleiki,magnloysi,maktarloysi,máttloysiskensla,megurð,misgongd,mistrivni,mistrivningur,misvøkstur,mók,møði,ovmøði,ómegd,ómegi,ómegn,óplikt,ótrivnaskapur,ótrivni,tómgongd,troti,úrmøri,ússaligheit,útlúgving,vanmáttarkensla,vanmáttur,vanmegd,vantrivnaður,vantrivni,vármøði,veikleiki,ørmegin,ørmørieingin funtur, einki veiggj;ikki maktardropin eftir;skeiv gongd;soltið úrslit↔brekaður,hungur,ikki megna,kraftleysur,máttsúgva,overva,overving,rakfallin,sjúka,sjúkur,soltinskapur,tómleiki,troyttast,útmøddur,vantrívastAndheiti:megi
máttloysiskensla	símáttloysi
máttmikil	síhábærsligur,sterkur
máttstolin	síútmøddur
máttsúgva	Samheiti:avmergja,blóðræna,hungra,eyðræna,lutræna,magnstjala,mergstjala,mergsúgva,oyðræna,svølta,troyta,tæra,veikja,veiklaama, arma e-n út;elta, tvekkja niður;fáa (e-n) upp í rak;gera fátækan, veikan;lata e-n ganga svangan;lata e-n hungra, svølta;makta e-n;stjala bæði mátt og megi;stjala, taka máttin, megina frá, úr e-m;súgva máttin, mergin úr e-m;svølta seg til flogs(makta)avmakta,helganga,lúgva,mógva,móka,møða,ovmøða,pøsa,temstra,tevsa,troyttaelta, tvekkja e-n niður;fáa, gera e-n móðan, troyttan↔brekaður,hungra,ikki megna,kraftleysur,máttloysi,overva,overving,sjúka,sjúkur,troyttast,útmøddur,vantrívastAndheiti:styrkja
máttugur	síhábærsligur,sterkur
máttur	símegi
máur	sífuglur
mávur	sífuglur
medda	símeina,peika
medeigari	síeigari
medferð	síarbeiðslag,lótirSamheiti:atburðarlag,atburðarsiður,atburður,atferð,athav,ferð,framferð,framferðarháttur,framstig,gerð,húgvuburður,hylling,kunstur,kynstri,kynstur,lag,levnað,mannveran,seglburður,tíggjan,veruháttur,verumáti,verulag(siðalív)siðaregla,siðregla↔arbeiðslag,gerandislív,plaga,sjálvsagi,uppaling,vanabundin,vani,sinnalag
medhjálp	síhjálpari
medisin	sígrøðing
medmenniskja	sípersónur
medvit	síklókskapur
medvitin	síavvitandi
meðan	sínú,tessvegna
meðani	sínú,tessvegna
meðni	sínúSamheiti:altso,íðan,so,sostattfyri alt tað;so statt;við øðrum orðum
mega	sínoyðast
megahertz	síbylgjulongd
megi	(makt)ali,almakt,almáttur,alv,alvi,arbeiðsevni,arbeiðskraft,arbeiðsmegi,arbeiðsorka,armstyrki,avbragdsstyrki,avlopsmegi,álopsmegi,fynd,handamagn,handamakt,handamegi,handastyrki,hestastyrki,kappingarføri,kraft,kraftur,kreftir,kropsevni,kropsstyrki,likamsevni(r),likamsmegi,magn,mannskapur,mansevni,manskreftir,mansmegi,máttur,megin,megn,megni,menni,mentir,mergur,risamegi,rossakreftir,seiggi,seiggil,seiggj,seigil,stinni,stinnleiki,stirðil,styrki,styrkleiki,ungdómsmegi,vinnuorka,vígmegi,yvirmenska,yvirment(hugagóðska)arbeiðsvilji,ágrýtni,áhald,áhaldni,dystfýsni,elvi,fastleiki,fúsleiki,fýsi,gessur,ginsemi,gívur,kappingarhugur,starvsemi,treiski,treiskleiki,treiskni,treyst,treysti,treystleiki,virkni,úthaldni,viljastyrki,viljigóður, stálherdur, sterkur vilji(mótstøðuføri)harðbalni,mótstøðumegi(orka)atomorka,drivmegi,fossamagn,framleidni,framleiðsluorka,guvutrýst,hestakraft,hestakreftir,heststyrki,hitaorka,innanorka,kjarnaalv,kjarnorka,lágorka,maskinkraft,maskinmegi,maskinorka,náttúrukreftir,náttúrumáttur,rekmáttur,rekmegi,sólarmagn,sólorka,streymmegi,streymur,varmaorka,vatnmegi,vatnorka,vindmegi,vindorka↔bjartskygni,dirvi,djarvur,dugnaskapur,dyggiliga,kraftamaður,manniliga,munadyggur,orkukelda,raskur,sterkurAndheiti:máttloysi
megileysur	síkraftleysur
megin	sífjøra,flóð,megi
meginá	síá
megindalur	sídalur
megindeild	síluteind
megineinkja	síkvinna
meginfelag	sífelag
meginfjøld	símeginpartur
meginfjøra	sífjøra
megin fjøra	sífjøra
meginflóð	síflóð
megin flóð	síflóð
megingjørð	síeydnulutur
meginhandil	sísølubúð
meginhav	síhav
meginheimur	síverøld
meginheit	símeginpartur
meginhending	síhending
meginhópur	símeginpartur
meginhugmynd	síhugsan
meginlandarák	sístreymur
meginlandsísur	síkavi
meginlandsveðurlag	síveðurlag
meginlívæðr	síæðr
meginlutur	síkjør,meginpartur
meginpartur	Samheiti:allarflestur,alraflestur,bróðurpartur,dast,fjøldin,fleiri,flestallir,flestur,hópin,hópur (av...),mangur,margur,meginfjøld,meginheit,meginhópur,meginluturannarhvør maður;at kalla allir, allur;at kalla hvør (maður);fleiri enn færri;(hin, tann) størri, størsti parturin;hvør Hanus og Janus, hvør Per og Pól;hvør kjaftur, lortungi, óviti, reyv;ikki so fáur;maður av húsi;mangur maður;mest allir;mest alt...;mestsum, mest sum, nærum, næstan allir;rættiliga mangur, mangir;tað mesta, nógva (av einum...);teir flestu, nógvu↔hvør einasti,krykja,nakar,nógvur,nøgd
meginregla	sígrundregla
meginskúli	sískúli
meginting	sífundur,vald
megintóni	sítónalag
megn	símegi
megna	Samheiti:duga,eiga,evna,fáa,formáa,gita,greiða,klára,krafta,kunna,magna,makta,máa,meistra,nytta,orka,skalafáa í lag;hava evni, førleika, at, sum, til...;hava kreftur, mansevni, megi, styrki at, til at...;hava skil, vit á, fyri, til...;koma, komast uppfyri, útfyri, útyvir at...;koma uppí (ávísa nøgd);kunna fremja, gera;standa mát, roynd o.fl.;standa seg;vera búgvin til;vera førur fyri, til;vera maður fyri;vera mentur↔dyggiliga,kraftamaður,manniliga,munadyggur,sterkurAndheiti:ikki megna
megnaður	sísterkur
megnar-	sífrálíkur
megnaravrik	síátak,roysnisgerð
megnarbók	sískriv
megnarfólk	síavtakafólk
megnargerð	síroysnisgerð
megnarhús	síbústaður
megnarkona	síavtakafólk
megnarkvinna	síavtakafólk
megnarligur	sísterkur
megnarmaður	síavtakafólk
megnarorð	sítosSamheiti:dirvisorð,fyndarorð(skilaorð)skilatala,skilatosorð sum sita (væl);orð søgd við fynd, skili↔lovorð,tos
megnarrisi	sítríalingur
megnarskald	sískald
megnartak	síátak,roysnisgerð
megnarverk	síroysnisgerð
megnast	síernast
megni	símegi
megurð	símáttloysi
meiða	sískaða
meiðsl	síbrák,brek,sár,skaði
meiðsla	sískaða
meiðslaður	síbrekaður
meiðslast	símeinslast
meiðvongur	sívánamaður
meiggj	sískrift
meiggja	sídálka,skíta,skriva,smyrja
meila	sídálk,strika
meilutur	sískitin
mein	síbaksan,hindur,pína,skaði
meina	síforbjóða,hindra,órógva,skaða,verkja,ætlaSamheiti:getlast,gissa,gita,gjøtla,gjøtlast,halda,hálda,hugsa,medda,meta,rokna,trúgva,úrleiða,ætla(javnmeta)javnsetaleggja, meta, rokna, seta e-t javnt við annað;meta (tvey) eins, javnt, líka(tykja)sýnastbilla sær inn;døma, gissa, meta, vamla, vavla, ætla o.fl. um;gera sær eina meining;gita sær e-t;gita sær til at...;getlast, gjøtla, gjøtlast um;hava eina hóming, peiling av e-m;hugsa fyri sær;hugsa sær;hugsa við sær sjálvum;ímynda sær;koma til ta niðurstøðu;leypa framvið (t.e.) siga upp á gjøt;rokna við;siga upp á gjøt;slútta sær;vilja vera við at...;□eg hugsaði tað altíð;eg skilji á lagnum at...;tað berst, kemur mær fyri at, sum...↔eyðvitað,gruna,hugsan,ímynda sær,meting,teinkja,vita
meinakveik	síhindur,letingi
meinaleysur	sígóðsintur
meinaloysi	sígóðtrúni
meinbjóða	síhindra,verkja
meinbogamikil	sítorførur
meinbogi	síhindur
meinfýsin	símannvándur
meinfýsni	síóndskapur
meingerð	síbrotsverk
meingi	sínøgd
meingleði	síóndskapur
meingøvgaður	síófúsur
meingøvgutur	síófúsur
meinheftigur	síkravmikil
meinhugaður	símannvándur
meinhugi	síhatur
meining	síáskoðan,endamál,merking,standur
meiningakanning	síkanning,spurningur
meiningarleysur	sítápuligur
meiningsleysur	sítápuligur
meiningur	síendamál,merking,standur
meinka	síhindra,órógva,verkja
meinkaður	síbrekaður
meinki	sískaði
meinkunnigur	sífullkønur
meinkunnugur	sífullkønur
meinkønur	sífullkønur
meinleiki	síbrek
meinleysur	síóskalaður
meinlíkur	sílíkur
meinorðaður	sívanæruligur
meinráð	sískálkagerð
meinsárur	sísvárur
meinska	síhindra,hindur,óndskapur
meinskaði	sískaði
meinskast	síaftra seg
meinskubragd	símótvilji,skálkagerð
meinskur	símannvándur,ófúsur
meinsla	sískaða
meinslaður	síbrekaður
meinslast	Samheiti:meiðslast,ryggbrotna,sárast,skaðast,skalast,skemmast,særastbeinbróta seg;bróta, sora seg sundur;koma fyri óhapp, til skaða;meiða, meiðsla, meinsla, melta seg;sláa seg í;verða fyri óhappi, vanlukku o.fl.;verða skaddur;verða sær sjálvum at meini↔brek,brekaður,brotin,keikja,ólagna,sár,skaða,skaði
meinsókn	síelting
meinstinga	síavlíva
meinstingur	sípína
meinsvorin	sísvikafullur
meinsýndur	sísjónligur
meinsýni	símyrkur
meinsøking	síelting
meinsøkja	síherja,jagstra
meint	sídyggiliga
meinur	sísvárur,torførur
meinviti	síhelviti
meinvísur	sísjónligur
meinyrði	síspottorð
meir	síannaðslíkt,framvegis
meira	síannaðslíkt,framvegis
meiri	síannaðslíkt,framvegis
meirkostnaður	síprísur,útreiðsla
meirvirðisgjald	síavgjald
meis	síhár,letingi
meisardagur	síregn
meisast	síletast
meistaraliga	Samheiti:kynstriliga,listaliga,listarliga,listuliga,snildiliga,snildisliga,vælavbera, ógvuliga, sera væl;av einslistum;við nærlagni;væl og virðiliga↔manniliga,snotiligur,valaverk,vælvirkinAndheiti:onkursvegna
meistaraligur	sífrálíkur,snotiligur
meistarastykki	síroysnisgerð
meistaratjóvur	sítjóvur
meistaraverk	síroysnisgerð
meistari	síavtakafólk,oddamaður,vinnari
Meistarin	síJesus
meistra	símegna,vita
meistur	símastur
meita	sískelda
meitilberg	síberg
meitilt	sísteyrrættur
meitingur	síregn
meitla	síkuta
meka	síóflýggjakroppur
mekast	síputla
mekl	síklandursvætti
mekla	fara upp ímillum;fáa at einast, semjast, sita um sátt, sættast;ganga ímillum;leggja uppímillum;royna at fáa semju í lag, stilla partarnar;skilja (tveir) at, sundur;slætta sjógvin (ímillum tveir);vera meklari, millumgongumaður, semingsmaður↔leggja uppí,samdur,semingsmaður,semja,semjast,uppíleggingAndheiti:yppa klandur
meklari	síkeypmaður,semingsmaður
meklast	sískeldast
mekling	sísemja,uppílegging
meklutur	síófúsur
mekt	síheiður,mikilleiki,vald
mektigur	síhábærsligur
mektugur	síhábærsligur
mekul	síklandursvætti
melda	sískuldseta
melding	sísakarmál,tilnevning
meldur	sígonga,kjalarvørrur,ósemja,óvit,rokilsi,tonn,umskiftiligur,vindur
meldurfressur	síhindur,rekavætti
meldurfretur	síhindur,rekavætti
meldurglaða	sívindur
meldurgrúkur	síkargakoka
meldurhvirla	sívindur
melduródn	síillveður
meldurskøltur	sívingliskøltur
meldursteffan	síhindur,kventil,rekavætti
meldurstreymur	sístreymur
meldurvindur	sívindur
mella	síendurtaka,gremja seg,letingi
melta	sískaða,sodna
meltast	sísodna
melting	sískaðiSamheiti:føðimelting,sodnan,sodning(meltingarlag)sodningarlag↔sodna
meltingarlag	símelting
meltingur	sígeldingur,seyður
menjar-	sífrálíkur
menjarbaldur	síavtakafólk
menjargrund	síkvinna
menjari	síavtakafólk,tríalingur
menjarlamb	síseyður
menjarsprund	síkvinna
menna	sílæra seg,styrkja
mennandi	Samheiti:eggjandi,fagnaðarmikil,fródligur,gleðifullur,gleðiligur,gleðimikil,gleimmikil,góður,hugaligur,hugressandi,kappsamt,lívsælur,lystiligur,læruríkur,siðmennandi,slóðbrótandi,stimbrandi,stuttligur,styrkjandi,sælumikil,uppbyggiligur,upplívandi,upplívgandi,upplyftandi,vónbjartur,vónboðandi,vóngevandi,vónríkur○sum ber boð um nakað gott, birtir, vekur góðar vónir;sum mennir, styrkir e-n, vekur gleði, lívsvilja;□hetta sær væl út, tekur seg væl upp;tað er ein fragd, frøi at...;tað er vert í↔bati,betra seg,munadyggur,uggandi,uggi,vaksandi,vóngóður,vøksturAndheiti:keðiligur,svárur
mennast	síbúnast,ernast,lekjast,læra seg,storma
menni	síavtakafólk,kraftamaður,megi
mennigur	síprúður
menniliga	símanniliga
menniligur	síprúður,sterkur
menning	síbati,spíringarføri,vøkstur
menningarár	síbarnaár
menningarbrek	sípína
menningargongd	sísøgugongd
menningarskaldsøga	sífrásøgn
menningarstig	Samheiti:aldursstig,búningarstig,royndarstig,stig,vitskualdur,vitskutal↔frálæring,læra seg,lærdómur,sibbi,skúlagongd,uppalin,uppaling,upplæra
menningartarnaður	sísvakur
menningaræl	síregn
menniskja	sípersónur
menniskjagóður	sígóðsintur
menniskjakærleiki	síkærleiki
menniskjaligur	síí manslíki
menniskjansliga	síhøviskliga
menniskjansligur	sígóðsintur
menniskjanslyndi	síkærleiki
menniskjuligur	síí manslíki
menniskjusonur	síJesus
Menniskjusonurin	síJesus
menska	sídirvi,sinnalag
menskur	sídjarvur,prúður,raskur,sterkur
menta	síupplæra,vegleiða
mentaður	sífólkaligur,lærdur
mentafólk	sífróðarmaður
mentamaður	sífróðarmaður
mentan	Samheiti:evnismentan,felagsmentan,ferðslumentan,fornmentir,fólkamentan,fólkaminni,heimamentan,heimsmentan,hámentan,húðarskógvamentan,mentanararvur,mentaskapur,mentir,mentun,nærmentan,sammentan,siðamenning,siðmenning,tjóðminni,yrkismentanevnisbundin, evnislig siðmenning;niðurarvað mentan(mentanarlív)mentaskapurandlig, verklig menning, mentan↔fólkaligur,gerandislív,mannsømandi
mentanararvur	sígáva,mentan
mentanarbardagi	síkríggj
mentanardís	síævintýrhugtak
mentanargrunnur	sígrunnur
mentanarkollvelting	síbroyting
mentanarlív	sígerandislív,mentan
mentanarloysi	síbýttisskapur
mentanarmaður	sífróðarmaður
mentanarsøga	sífrásøgn
mentarsnót	síavtakafólk
mentarsprund	síavtakafólk
mentaskapur	símentan
mentir	sífermleiki,megi,mentan
mentun	símentan
mentur	síbatnaður,sterkur,tilkomin
mer	síkvennvera,óflýggjakroppur,ross
mergja	sístyrkja
mergjaður	sísterkur
mergjarfiti	sífitievni
mergjarlop	sípína
merglop	sípína
mergsíða	síveggur
mergsogin	sírakfallin,útmøddur
mergstjala	símáttsúgva
mergsúgva	símáttsúgva,snulta
mergur	sífitievni,kjør,megi
meril	sípinkulingur
merja	sískaða
merki	síávaring,blettur,eyðkenni,ímynd,sár,spor
merkijarn	síknívur
merkiknívur	síknívur
merkiliga	síógvuliga
merkiligur	síáhugaverdur,fløktur,óvanligur
merking	síeyðmerkingSamheiti:allýsing,avmarking,lýsing,løtumynd,meining,meiningur,orðafrágreiðing,orðalýsing,orðaskiljing,skilmarking,týdningur,tøkumerking,upprunamerking,upprunatýdningur↔allýsing,merkja
merkingarjarn	síknívur
merkis-	sífrálíkur
merkisár	síhátíð
merkisberi	síoddamaður
merkisdagur	síhátíð
merkiseðil	sískelti
merkisgarður	símark
merkishending	síeindømi,hending
merkishús	síbústaður
